hospital_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,Consultas,GRDxEgreso,Bienes y servicios,Remuneraciones,Dias Cama Disponibles,Consultas Urgencias,Examenes,Quirofanos
101100,15,Hospital Dr. Juan Noé Crevanni (Arica),Hospital Doctor Juan Noé,-18.4827,-70.3126,260789,13853.88884,42922115,24693228,113311.0,169654,2326198915,2624
102100,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,207413,15658.2298,69650615,30766623,161383.0,119984,2218272935,2128
103100,2,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,388776,18822.5262,84757807,74341955,196717.0,95505,3566629719,4981
103101,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22.445,-68.9181,162455,8143.65664,33706499,15189621,72833.0,69328,1562820347,1508
103102,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,9251,-1126.0,6347550,2730527,14564.0,52463,165035280,0
103103,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,1293,-598.0,3571090,874097,8008.0,32922,101655927,0
103104,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,510,-167.0,3016119,1115503,3285.0,34159,68023719,0
104100,3,Hospital San José del Carmen (Copiapó),Hospital Regional de Copiapó,-27.3668,-70.3417,179871,11101.0718,38174508,22686348,110991.0,93565,1192996958,1432
104101,3,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital de Chañaral,-26.3442,-70.6071,38,-414.0,2399633,650466,13715.0,24501,61755896,0
104103,3,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,69910,4434.5081199999995,17875106,10722838,41610.0,61878,452248572,1149
104104,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,371,-166.0,2519341,551218,3776.0,24870,23925824,0
105100,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,177698,13434.89336,51816134,40208608,122444.0,75631,1679504270,2584
105101,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,182607,14572.18739,51864868,35834559,122749.0,68407,1385554073,3644
105102,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,184942,6956.187,41490617,22112593,80208.0,72762,3005236073,3366
105103,4,Hospital Dr. Humberto Elorza Cortés (Illapel),Hospital Illapel,-31.6277,-71.3682,90331,-3780.0,10790253,5137080,25935.0,34378,370579896,1459
105104,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,1349,-405.0,4602585,2526598,6977.0,132902,173795020,0
105105,4,Hospital San Juan de Dios (Combarbalá),Hospital Combarbalá,-31.2125,-71.2355,309,-301.0,2768249,912414,7347.0,18347,46525674,0
105106,4,Hospital Dr. José Arraño (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,488,-150.0,2508823,1013942,5476.0,14842,47635816,0
105107,4,Hospital San Juan de Dios (Vicuña),Hospital Vicuña,-30.0309,-70.7087,330,-595.0,3195257,1187369,10702.0,28325,118101867,0
105108,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,11043,-634.0,5042640,1884281,12405.0,42974,300769921,0
106100,5,Hospital Carlos Van Buren (Valparaíso),Hospital Carlos Van Buren,-33.0458,-71.6229,155301,16698.8415,69178333,39775559,155019.0,125873,2733816921,4850
106103,5,Hospital Claudio Vicuña ( San Antonio),Hospital Claudio Vicuña,-33.5996,-71.5598,59595,5251.489500000001,19582044,11610618,60422.0,81306,737601288,643
106104,5,Hospital Del Salvador (Valparaíso),Hospital Del Salvador,-33.0472,-71.3567,12381,-529.0,7422090,2838808,31854.0,0,0,0
106105,5,Hospital San José (Casablanca),Hospital San José Casablanca,-33.3205,-71.4102,167,-302.0,3707878,1484002,4930.0,51894,16632808,0
106102,5,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Hospital Doctor Eduardo Pereira,-33.0384,-71.6264,51467,5613.86496,17569066,8641335,56522.0,0,873333508,1580
107100,5,Hospital Dr. Gustavo Fricke (Viña del Mar),Hospital Doctor Gustavo Fricke,-33.0214,-71.5537,274741,26117.4204,80013989,67552270,193722.0,132489,2819745300,9166
107101,5,Hospital San Martín (Quillota),Hospital de Quillota,-32.8833,-71.2482,127285,7974.62422,35369421,21169979,88781.0,59805,1284382487,1465
107102,5,Hospital de Quilpué,Hospital de Quilpué,-33.0458,-71.4457,81191,5019.912240000001,23886377,10638970,53144.0,84128,907947250,2045
107103,5,Hospital Dr. Mario Sánchez Vergara (La Calera),Hospital de La Calera,-32.7875,-71.2035,14573,-1460.0,6020667,1693382,15226.0,36565,154851874,0
107110,5,Hospital Centro Geriátrico Paz de la Tarde (Limache),Hospital Geriátrico Paz de la Tarde,-33.0098,-71.2544,6867,-433.0,3501803,840663,22418.0,0,1977010,0
107104,5,Hospital Santo Tomás (Limache),Hospital de Limache,-33.0103,-71.2549,7373,-1335.0,7232895,1712654,20805.0,53466,144179864,348
107105,5,Hospital San Agustín (La Ligua),Hospital de La Ligua,-32.4478,-71.2316,22958,-1026.0,5996011,1590050,21535.0,44637,621068290,174
107106,5,Hospital Dr. Víctor Hugo Moll (Cabildo),Hospital Cabildo,-32.4285,-71.0639,1365,-477.0,2890839,857095,7665.0,25854,80226834,0
107107,5,Hospital de Petorca,Hospital Petorca,-32.2594,-70.9392,2076,-293.0,1754872,432884,6570.0,14457,9555120,0
107108,5,Hospital Adriana Cousiño (Quintero),Hospital de Quintero,-32.7844,-71.5269,3818,-867.0,5354127,2298499,9216.0,55807,479991695,0
107109,5,Hospital Juana Ross de Edwards (Peñablanca - Villa Alemana),Hospital Peñablanca,-33.0424,-71.3724,414,-1836.0,6672845,2258238,29220.0,27504,110556476,0
108100,5,Hospital de San Camilo (San Felipe),Hospital San Camilo de San Felipe,-32.7521,-70.7254,105683,8767.1975,25857319,14172228,79880.0,97351,1294410226,2870
108101,5,Hospital San Juan de Dios (Los Andes),Hospital San Juan de Dios de Los Andes,-32.8325,-70.5984,85999,7222.53536,20287011,11798041,57360.0,88677,543252065,1074
108102,5,Hospital San Francisco (Llaillay),Hospital San Francisco de Llay Llay,-32.8377,-70.9502,2280,-943.0,3701756,1170624,12450.0,45580,134119796,0
108104,5,Hospital San Antonio (Putaendo),Hospital San Antonio de  Putaendo,-32.6214,-70.7253,0,-525.0,1976464,681116,10220.0,28401,16096516,0
108105,5,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo),Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo,-32.6212,-70.7263,0,-575.0,9192478,2859797,94788.0,9123,0,0
115100,6,Hospital Regional de Rancagua,Hospital Rancagua,-34.1713,-70.7449,302765,22632.40431,79541637,46163857,199181.0,139046,4618305946,3939
115101,6,Hospital Santa Filomena (Graneros),Hospital Graneros,-34.0667,-70.7264,451,-699.0,3871665,1092633,9490.0,57175,148430536,0
115102,6,Hospital de Coínco,Hospital Coínco,-34.2667,-70.9933,566,-422.0,2228842,551402,5208.0,18673,29259533,0
115103,6,Hospital Del Salvador (Peumo),Hospital Peumo,-34.3903,-71.2542,444,-602.0,3080347,980550,17442.0,31788,90016016,0
115104,6,Hospital Dr. Ricardo Valenzuela Sáez (Rengo),Hospital de Rengo,-34.4065,-70.8587,61529,-5529.0,12528344,11793349,40885.0,82802,563206330,1684
115105,6,Hospital San Vicente de Tagua-Tagua,Hospital San Vicente,-34.4487,-70.9682,33634,-2706.0,5929098,2305418,17855.0,41329,185098258,467
115106,6,Hospital de Pichidegua,Hospital Pichidegua,-34.2998,-71.2786,231,-361.0,1630935,472091,4566.0,31551,63081998,0
115107,6,Hospital San Juan de Dios (San Fernando),Hospital San Fernando,-34.5817,-70.9899,109137,6110.519219999999,23699877,14806199,58701.0,105684,1063697316,2430
115108,6,Hospital Mercedes (Chimbarongo),Hospital Chimbarongo,-34.7239,-71.0394,502,-719.0,3493869,1231982,7300.0,34261,109109863,0
115109,6,Hospital de Nancagua,Hospital Nancagua,-34.7012,-71.1288,451,-228.0,2099162,530407,3285.0,28220,41840514,0
115110,6,Hospital de Santa Cruz,Hospital Santa Cruz,-34.6364,-71.3657,79108,3775.25998,13149774,7916769,32048.0,58164,579672275,2176
115111,6,Hospital de Marchigüe,Hospital Marchigue,-34.4231,-71.5873,203,-150.0,1599871,542520,3276.0,15976,100794130,0
115112,6,Hospital de Pichilemu,Hospital Pichilemu,-34.3869,-72.0095,856,-561.0,3153348,1265442,8808.0,20073,134184296,0
115113,6,Hospital de Lolol,Hospital de Lolol,-34.7589,-71.6721,89,-163.0,1677734,391016,3650.0,15580,47221226,0
115114,6,Hospital de Litueche,Hospital de Litueche,-34.1344,-71.6822,292,-115.0,1746541,558022,2920.0,18206,56267002,0
116100,7,Hospital San Juan de Dios (Curicó),Hospital Curicó,-34.9824,-71.2433,179043,10730.56731,38966175,31452244,111121.0,91441,2121740752,3027
116101,7,Hospital de Teno,Hospital de Teno,-34.8749,-71.1676,296,-1017.0,3292168,1116158,9903.0,25387,72549367,0
116102,7,Hospital de Molina,Hospital Molina,-35.1155,-71.2826,3176,-1338.0,4225415,2746386,19065.0,54714,259900002,0
116103,7,Hospital de Hualañé,Hospital Hualane,-34.9768,-71.7986,368,-424.0,2120468,816168,4380.0,17398,111497036,0
116104,7,Hospital de Licantén,Hospital Licantén,-34.9983,-71.8771,214,-134.0,2252641,622316,2876.0,11797,88419228,0
116105,7,Hospital Dr. César Garavagno Burotto (Talca),Hospital Talca,-35.4232,-71.6485,411465,30295.65,82284160,53796891,235629.0,129245,3001306560,7849
116106,7,Hospital de Curepto,Hospital Curepto,-35.0834,-72.0038,204,-326.0,2280161,668666,2910.0,12068,36732671,0
116107,7,Hospital de Constitución,Hospital Constitución,-35.3329,-72.4162,34906,-3067.0,6989225,2362945,28488.0,25085,151745529,234
116108,7,Hospital Presidente Carlos Ibáñez del Campo (Linares),Hospital Linares,-35.8487,-71.5901,150382,10088.22685,29082767,17515872,82719.0,65958,4331091337,2683
116109,7,Hospital Dr. Abel Fuentealba Lagos de San Javier,Hospital San Javier,-35.5911,-71.7362,30182,-3508.0,6805178,2969316,23804.0,55876,170687841,778
116110,7,Hospital San José (Parral),Hospital Parral,-36.1438,-71.8369,32250,3518.5139999999997,7637547,2887766,36541.0,51347,255739406,673
116111,7,Hospital San Juan de Dios (Cauquenes),Hospital Cauquenes,-35.9637,-72.3228,41970,-4360.0,9376096,3274858,42128.0,29968,195475157,446
116112,7,Hospital Dr. Benjamín Pedreros (Chanco),Hospital Chanco,-35.7335,-72.5435,240,-524.0,2466102,704833,7721.0,26590,44088804,0
117101,16,Hospital Clínico Herminda Martín (Chillán),Hospital de Chillán,-36.6063,-72.1024,290076,17016.87375,67086979,39504125,172394.0,131961,4575349467,2834
117102,16,Hospital de San Carlos,Hospital de San Carlos,-36.4267,-71.9592,69217,5250.53177,19891677,11672568,43611.0,97085,698861974,1142
117103,16,Hospital Comunitario de Salud Familiar de Bulnes,Hospital de Bulnes,-36.7411,-72.2996,2438,-1559.0,5423155,2908195,19074.0,69133,215081020,0
117104,16,Hospital Comunitario de Salud Familiar Pedro Morales Campos (Yungay),Hospital de Yungay,-37.1013,-71.9325,369,-1167.0,4212053,1918833,15698.0,46270,70321891,0
117106,16,Hospital Comunitario de Salud Familiar de Quirihue,Hospital de Quirihue,-36.2821,-72.5323,921,-756.0,3726640,1851637,17684.0,21796,79075632,0
