hospital_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,Consultas,Quirofanos,GRDxEgreso,Bienes y servicios,Remuneraciones,Dias Cama Disponibles,Consultas Urgencias,Examenes
101100,15,Hospital Dr. Juan Noé Crevanni (Arica),Hospital Doctor Juan Noé,-18.4827,-70.3126,260789,0.0,13853.88884,42922115,24693228,113311.0,169654,2326198915
102100,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,207413,0.0,15658.2298,69650615,30766623,161383.0,119984,2218272935
103100,2,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,388776,0.0,18822.5262,84757807,74341955,196717.0,95505,3566629719
103101,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22.445,-68.9181,162455,0.0,8143.65664,33706499,15189621,72833.0,69328,1562820347
103102,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,9251,0.0,-1126.0,6347550,2730527,14564.0,52463,165035280
103103,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,1293,0.0,-598.0,3571090,874097,8008.0,32922,101655927
103104,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,510,0.0,-167.0,3016119,1115503,3285.0,34159,68023719
104100,3,Hospital San José del Carmen (Copiapó),Hospital Regional de Copiapó,-27.3668,-70.3417,179871,0.0,11101.0718,38174508,22686348,110991.0,93565,1192996958
104101,3,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital de Chañaral,-26.3442,-70.6071,38,0.0,-414.0,2399633,650466,13715.0,24501,61755896
104103,3,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,69910,0.0,4434.5081199999995,17875106,10722838,41610.0,61878,452248572
104104,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,371,0.0,-166.0,2519341,551218,3776.0,24870,23925824
105100,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,177698,0.0,13434.89336,51816134,40208608,122444.0,75631,1679504270
105101,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,182607,0.0,14572.18739,51864868,35834559,122749.0,68407,1385554073
105102,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,184942,0.0,6956.187,41490617,22112593,80208.0,72762,3005236073
105103,4,Hospital Dr. Humberto Elorza Cortés (Illapel),Hospital Illapel,-31.6277,-71.3682,90331,0.0,-3780.0,10790253,5137080,25935.0,34378,370579896
105104,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,1349,0.0,-405.0,4602585,2526598,6977.0,132902,173795020
105105,4,Hospital San Juan de Dios (Combarbalá),Hospital Combarbalá,-31.2125,-71.2355,309,0.0,-301.0,2768249,912414,7347.0,18347,46525674
105106,4,Hospital Dr. José Arraño (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,488,0.0,-150.0,2508823,1013942,5476.0,14842,47635816
105107,4,Hospital San Juan de Dios (Vicuña),Hospital Vicuña,-30.0309,-70.7087,330,0.0,-595.0,3195257,1187369,10702.0,28325,118101867
105108,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,11043,0.0,-634.0,5042640,1884281,12405.0,42974,300769921
106100,5,Hospital Carlos Van Buren (Valparaíso),Hospital Carlos Van Buren,-33.0458,-71.6229,155301,0.0,16698.8415,69178333,39775559,155019.0,125873,2733816921
106103,5,Hospital Claudio Vicuña ( San Antonio),Hospital Claudio Vicuña,-33.5996,-71.5598,59595,0.0,5251.489500000001,19582044,11610618,60422.0,81306,737601288
106104,5,Hospital Del Salvador (Valparaíso),Hospital Del Salvador,-33.0472,-71.3567,12381,0.0,-529.0,7422090,2838808,31854.0,0,0
106105,5,Hospital San José (Casablanca),Hospital San José Casablanca,-33.3205,-71.4102,167,0.0,-302.0,3707878,1484002,4930.0,51894,16632808
106102,5,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Hospital Doctor Eduardo Pereira,-33.0384,-71.6264,51467,0.0,5613.86496,17569066,8641335,56522.0,0,873333508
107100,5,Hospital Dr. Gustavo Fricke (Viña del Mar),Hospital Doctor Gustavo Fricke,-33.0214,-71.5537,274741,0.0,26117.4204,80013989,67552270,193722.0,132489,2819745300
107101,5,Hospital San Martín (Quillota),Hospital de Quillota,-32.8833,-71.2482,127285,0.0,7974.62422,35369421,21169979,88781.0,59805,1284382487
107102,5,Hospital de Quilpué,Hospital de Quilpué,-33.0458,-71.4457,81191,0.0,5019.912240000001,23886377,10638970,53144.0,84128,907947250
107103,5,Hospital Dr. Mario Sánchez Vergara (La Calera),Hospital de La Calera,-32.7875,-71.2035,14573,0.0,-1460.0,6020667,1693382,15226.0,36565,154851874
107110,5,Hospital Centro Geriátrico Paz de la Tarde (Limache),Hospital Geriátrico Paz de la Tarde,-33.0098,-71.2544,6867,0.0,-433.0,3501803,840663,22418.0,0,1977010
107104,5,Hospital Santo Tomás (Limache),Hospital de Limache,-33.0103,-71.2549,7373,0.0,-1335.0,7232895,1712654,20805.0,53466,144179864
107105,5,Hospital San Agustín (La Ligua),Hospital de La Ligua,-32.4478,-71.2316,22958,0.0,-1026.0,5996011,1590050,21535.0,44637,621068290
107106,5,Hospital Dr. Víctor Hugo Moll (Cabildo),Hospital Cabildo,-32.4285,-71.0639,1365,0.0,-477.0,2890839,857095,7665.0,25854,80226834
107107,5,Hospital de Petorca,Hospital Petorca,-32.2594,-70.9392,2076,0.0,-293.0,1754872,432884,6570.0,14457,9555120
107108,5,Hospital Adriana Cousiño (Quintero),Hospital de Quintero,-32.7844,-71.5269,3818,0.0,-867.0,5354127,2298499,9216.0,55807,479991695
107109,5,Hospital Juana Ross de Edwards (Peñablanca - Villa Alemana),Hospital Peñablanca,-33.0424,-71.3724,414,0.0,-1836.0,6672845,2258238,29220.0,27504,110556476
108100,5,Hospital de San Camilo (San Felipe),Hospital San Camilo de San Felipe,-32.7521,-70.7254,105683,0.0,8767.1975,25857319,14172228,79880.0,97351,1294410226
108101,5,Hospital San Juan de Dios (Los Andes),Hospital San Juan de Dios de Los Andes,-32.8325,-70.5984,85999,0.0,7222.53536,20287011,11798041,57360.0,88677,543252065
108102,5,Hospital San Francisco (Llaillay),Hospital San Francisco de Llay Llay,-32.8377,-70.9502,2280,0.0,-943.0,3701756,1170624,12450.0,45580,134119796
108104,5,Hospital San Antonio (Putaendo),Hospital San Antonio de  Putaendo,-32.6214,-70.7253,0,0.0,-525.0,1976464,681116,10220.0,28401,16096516
108105,5,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo),Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo,-32.6212,-70.7263,0,0.0,-575.0,9192478,2859797,94788.0,9123,0
115100,6,Hospital Regional de Rancagua,Hospital Rancagua,-34.1713,-70.7449,302765,0.0,22632.40431,79541637,46163857,199181.0,139046,4618305946
115101,6,Hospital Santa Filomena (Graneros),Hospital Graneros,-34.0667,-70.7264,451,0.0,-699.0,3871665,1092633,9490.0,57175,148430536
115102,6,Hospital de Coínco,Hospital Coínco,-34.2667,-70.9933,566,0.0,-422.0,2228842,551402,5208.0,18673,29259533
115103,6,Hospital Del Salvador (Peumo),Hospital Peumo,-34.3903,-71.2542,444,0.0,-602.0,3080347,980550,17442.0,31788,90016016
115104,6,Hospital Dr. Ricardo Valenzuela Sáez (Rengo),Hospital de Rengo,-34.4065,-70.8587,61529,0.0,-5529.0,12528344,11793349,40885.0,82802,563206330
115105,6,Hospital San Vicente de Tagua-Tagua,Hospital San Vicente,-34.4487,-70.9682,33634,0.0,-2706.0,5929098,2305418,17855.0,41329,185098258
115106,6,Hospital de Pichidegua,Hospital Pichidegua,-34.2998,-71.2786,231,0.0,-361.0,1630935,472091,4566.0,31551,63081998
115107,6,Hospital San Juan de Dios (San Fernando),Hospital San Fernando,-34.5817,-70.9899,109137,0.0,6110.519219999999,23699877,14806199,58701.0,105684,1063697316
115108,6,Hospital Mercedes (Chimbarongo),Hospital Chimbarongo,-34.7239,-71.0394,502,0.0,-719.0,3493869,1231982,7300.0,34261,109109863
115109,6,Hospital de Nancagua,Hospital Nancagua,-34.7012,-71.1288,451,0.0,-228.0,2099162,530407,3285.0,28220,41840514
115110,6,Hospital de Santa Cruz,Hospital Santa Cruz,-34.6364,-71.3657,79108,0.0,3775.25998,13149774,7916769,32048.0,58164,579672275
115111,6,Hospital de Marchigüe,Hospital Marchigue,-34.4231,-71.5873,203,0.0,-150.0,1599871,542520,3276.0,15976,100794130
115112,6,Hospital de Pichilemu,Hospital Pichilemu,-34.3869,-72.0095,856,0.0,-561.0,3153348,1265442,8808.0,20073,134184296
115113,6,Hospital de Lolol,Hospital de Lolol,-34.7589,-71.6721,89,0.0,-163.0,1677734,391016,3650.0,15580,47221226
115114,6,Hospital de Litueche,Hospital de Litueche,-34.1344,-71.6822,292,0.0,-115.0,1746541,558022,2920.0,18206,56267002
116100,7,Hospital San Juan de Dios (Curicó),Hospital Curicó,-34.9824,-71.2433,179043,0.0,10730.56731,38966175,31452244,111121.0,91441,2121740752
116101,7,Hospital de Teno,Hospital de Teno,-34.8749,-71.1676,296,0.0,-1017.0,3292168,1116158,9903.0,25387,72549367
116102,7,Hospital de Molina,Hospital Molina,-35.1155,-71.2826,3176,0.0,-1338.0,4225415,2746386,19065.0,54714,259900002
116103,7,Hospital de Hualañé,Hospital Hualane,-34.9768,-71.7986,368,0.0,-424.0,2120468,816168,4380.0,17398,111497036
116104,7,Hospital de Licantén,Hospital Licantén,-34.9983,-71.8771,214,0.0,-134.0,2252641,622316,2876.0,11797,88419228
116105,7,Hospital Dr. César Garavagno Burotto (Talca),Hospital Talca,-35.4232,-71.6485,411465,0.0,30295.65,82284160,53796891,235629.0,129245,3001306560
116106,7,Hospital de Curepto,Hospital Curepto,-35.0834,-72.0038,204,0.0,-326.0,2280161,668666,2910.0,12068,36732671
116107,7,Hospital de Constitución,Hospital Constitución,-35.3329,-72.4162,34906,0.0,-3067.0,6989225,2362945,28488.0,25085,151745529
116108,7,Hospital Presidente Carlos Ibáñez del Campo (Linares),Hospital Linares,-35.8487,-71.5901,150382,0.0,10088.22685,29082767,17515872,82719.0,65958,4331091337
116109,7,Hospital Dr. Abel Fuentealba Lagos de San Javier,Hospital San Javier,-35.5911,-71.7362,30182,0.0,-3508.0,6805178,2969316,23804.0,55876,170687841
