hospital_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,Consultas,Quirofanos,GRDxEgreso,Bienes y servicios,Remuneraciones,Dias Cama Disponibles,Consultas Urgencias,Examenes
101100,15,Hospital Dr. Juan Noé Crevanni (Arica),Hospital Doctor Juan Noé,-18.4827,-70.3126,930910.0,0.0,15971.84006,39905799,24127007,113311.0,523841.0,9101104932.0
102100,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,711038.0,0.0,18772.65796,65722852,28506829,161383.0,401995.0,10202738504.0
103100,2,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,1443893.0,0.0,22118.257,80664643,79152302,196717.0,389085.0,12592788368.0
103101,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22.445,-68.9181,545948.0,0.0,10073.86016,31993071,13260920,72833.0,260853.0,5524275211.0
103102,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,29172.0,0.0,,6071642,2443370,14564.0,151716.0,664853215.0
103103,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,14994.0,0.0,,3440384,831993,8008.0,84386.0,350298271.0
103104,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,1295.0,0.0,,2803591,801495,3285.0,90723.0,223875596.0
104100,3,Hospital San José del Carmen (Copiapó),Hospital Regional de Copiapó,-27.3668,-70.3417,757906.0,0.0,11250.27436,37184911,23978052,110991.0,363924.0,4690550458.0
104101,3,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital de Chañaral,-26.3442,-70.6071,189.0,0.0,,2249417,643269,13715.0,80876.0,192471315.0
104103,3,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,259804.0,0.0,4767.15372,16695112,8907078,41610.0,216121.0,1652007434.0
104104,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,650.0,0.0,,2115903,477381,3776.0,69592.0,84393174.0
105100,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,627302.0,0.0,15084.77516,49306395,34084510,122444.0,266627.0,7377333062.0
105101,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,639567.0,0.0,16373.62178,47879940,32793232,122749.0,208571.0,6015790028.0
105102,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,687570.0,0.0,9082.3974,36064822,20293925,80208.0,217500.0,10187986185.0
105103,4,Hospital Dr. Humberto Elorza Cortés (Illapel),Hospital Illapel,-31.6277,-71.3682,359929.0,0.0,,10298785,4918796,25935.0,96374.0,1623593546.0
105104,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,4738.0,0.0,,4212033,2084621,6977.0,288584.0,541888308.0
105105,4,Hospital San Juan de Dios (Combarbalá),Hospital Combarbalá,-31.2125,-71.2355,1234.0,0.0,,2612516,800688,7347.0,36433.0,149791530.0
105106,4,Hospital Dr. José Arraño (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,1758.0,0.0,,2382372,815680,5476.0,30465.0,155824882.0
105107,4,Hospital San Juan de Dios (Vicuña),Hospital Vicuña,-30.0309,-70.7087,1371.0,0.0,,2932415,1048380,10702.0,93505.0,467473462.0
105108,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,44071.0,0.0,,4556360,1622656,12405.0,104212.0,1141366579.0
106100,5,Hospital Carlos Van Buren (Valparaíso),Hospital Carlos Van Buren,-33.0458,-71.6229,532095.0,0.0,20382.6315,65324704,32905612,155019.0,425046.0,10268184777.0
